Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),, ,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),,,04/27/2023,04/25/2024
,,Abstract Bold,Environmental,, ,,
,,Abstract Bold,Environmental Stewardship,, ,,
,,Abstract Bold,Operational Sites Owned Leased Managed in or Adjacent to Protected Areas and Areas of High Biodiversity Value Outside Protected Areas, EM-MM-160a.3,"304-1, 304-2",,
,Actual,,Is the mine in or adjacent (< 5km) to protected or high biodiversity areas?,,,Yes,Yes
,Actual,,Does the mine have significant direct and indirect impacts on biodiversity? ,,,No,No
,Actual,,Does the mine have any designated land to protect or restore?,,,No,No
,Actual,,Total area (ha) of leased/owned site,, ,"63,860","64,093"
,Actual,,Site area (ha) physically disturbed by mine-related activity,, ,"3,383","3,399"
,Actual,,Site area (ha) currently undisturbed,, ,"60,477","60,694"
,,,,, ,,
,,Abstract Bold,Habitats Protected or Restored,,304-3,,
,Actual,,Total site area (ha) that will be rehabilitated at closure,, ,"2,738","2,738"
,Actual,,Site area (ha) rehabilitated during the reporting year,, ,16,0
,Actual,,Total size of land succesfully restored (ha),, ,16,0
,Actual,,Status of restoration,,, In Progess ,Not Sarted
,Actual,,Do partnerships exist with third parties to protect or restore distinct habitat?,,,N/A,N/A
,Actual,,Does successful restoration require approval by independent external professionals?,,,N/A,N/A
,Actual,,Size of protected land (ha),, ,0,0
,,,,, ,,
,,Abstract Bold,Protected or High Biodiversity Areas,,304-1,,
,Actual,,Operation's position in relation to protected or high biodiverisity areas,,,Adjacent,Adjacent
,Actual,,Ecosystem of protected or high biodiveristy areas,,,Terrestrial,Terrestrial
,Actual,,Is the area protected under national legislation?,,,No,No
,Actual,,If applicable IIUCN protected area management category,,,NA,NA
,Actual,,Is the area protected under the ramsar convention?,,,No,No
,,,,, ,,
,,Abstract Bold,IUCN Red List Species and National Conservation List Species with Habitats in Areas Affected by Operations,EM-MM-160a.3,304-4,,
,Actual,Bold,Total  IUCN red list species and national conservation list species,, ,67,72
,Actual,,Critically endangered,, ,0,0
,Actual,,Endangered,, ,1,1
,Actual,,Vulnerable,, ,2,4
,Actual,,Near threatened,, ,1,4
,Actual,,Least concerned,, ,63,63
,Actual,,Other,, ,0,0
,,,,, ,,
,,Abstract Bold,Cyanide Management, EM-MM-150a.9, ,,
,Actual,Bold,Cyanide use (tonnes),, ,"9,051","7,474"
,Actual,,Total significant cyanide incidents that require reporting under applicable regulations1,, ,0,0
,Actual,,Cyanide releases off the mine site requiring response or remediation,, ,0,0
,Actual,,Cyanide releases on or off the mine site resulting in significant adverse effects to health ,, ,0,0
,Actual,,Cyanide releases on or off the mine site resulting in significant adverse effects to the environment,, ,0,0
,Actual,,Cyanide releases on or off the mine site requiring reporting under applicable regulations,, ,0,0
,Actual,,Releases cause applicable limits for cyanide to be exceeded,, ,0,0
,,,,, ,,
,,Abstract Bold,Environmental Fines & Sanctions,"EM-MM-140a.2, EM-MM-150a.9",2-27,,
,Actual,,Was the mine charged for non-compliance with environmental laws or regulations?,,,No,No
,Actual,,Amount of fines for non-compliance with environmental laws and regulations,,, -   ,N/A
,Actual,,Currency of fines for non-compliance with environmental laws and regulations,,,N/A,N/A
,Actual,,Were there actions against mine for non-compliance with envir. laws or regul.,,,No,No
,Actual,,Number of significant environmental incidents,,, -   , -   
,Actual,,  Number of significant spills ,,, -   , -   
,,,,, ,,
,,Abstract Bold,Energy,, ,,
,,Abstract Bold,Energy Consumption within the Organization,EM-MM-130a.1 ,302-1,,
,Actual,Bold,Fuel consumption,, ,"3,928,884","4,266,454"
,Actual,,Diesel (GJ) ,, ,"3,677,536","3,947,008"
,Actual,,Biodiesel (GJ),, ,0,0
,Actual,,Light fuel & gasoline (GJ) ,, ,"62,073","71,904"
,Actual,,LPG (GJ) ,, ,0,0
,Actual,,Propane (GJ) ,, ,"185,575","182,468"
,Actual,,Lubricating oils & greases (GJ),, ,0,0
,Actual,,Natural gas (GJ) ,, ,0,0
,Actual,,Explosives (GJ),, ,"3,700","65,074"
,Actual,Bold,Total electricity consumption (kWh),, ,"832,389,772","830,958,937"
,Actual,Bold,Total electricity consumption (GJ),, ,"2,996,603","2,991,452"
,Actual,,Renewable electricity purchased from grid (kWh),, ,"324,632,011","324,073,985"
,Actual,,Non-renewable electricity low carbon electricity purchased from grid (kWh),, ,0,"282,526,038"
,Actual,,Non-renewable electricity other purchased from grid (kWh),, ,"507,757,761","224,358,913"
,Actual,,Non-renewable electricity generated on-site (kWh),, ,0,0
,Actual,Bold,% Low carbon electricity purchased,, ,39%,73%
,Actual,,% Renewable electricy consumption,, ,39%,39%
,Actual,,% Non-renewable low carbon electricity purchased,, ,0%,34%
,Actual,Bold,Total energy consumption (GJ),, ,"6,925,487","7,257,906"
,,,,, ,,
,,Abstract Bold,Energy Intensity,,302-3,,
,Actual,,Electricity intensity (per tonne of ore processed) (KWh/t),, ,32.7,32.7
,Actual,,Energy intensity (per tonne of ore processed) (GJ/t),, ,0.27,0.29
,,,,, ,,
,,Abstract Bold,Emissions,, ,,
