Currency,Unit,,Description,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
$,Thousand,,La India - Minesite operating costs (USD$),"4,871","8,811","11,845","12,458","12,056","11,562","13,307","11,995","11,734","12,000","14,513","14,407","13,483","14,255","17,112","17,828","15,862","17,651","18,909","18,782","17,351","15,910","16,340","18,628","17,812","14,272","17,160","17,998","16,381","6,473","16,626","20,999","18,303","19,019","19,565","22,937","21,540","24,967","25,996","22,652", -   , -   , -   
$,Actual,,La India - Minesite costs per tonne (USD$),7,8,10,9,9,9,11,8,8,8,11,9,10,11,11,11,9,11,13,13,12,11,15,13,12,18,11,11,10,4,13,15,12,14,19,20,33,28,27,45, -   , -   , -   
,,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,,"6,983","7,889","1,693","3,304","2,684","2,826","1,634","4,748","2,622","1,779","1,991","1,676","3,396","2,134","1,782","4,722","4,453","4,410","4,879","5,375","3,982","8,472","3,529","3,321","5,194","7,456","2,655","3,794","6,512","2,131",27,51,23, -   ,22, -   , -   
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,,"6,983","7,889","1,693","3,304","2,684","2,340","1,634","2,265","2,510","1,750","1,430","1,494","2,498","1,923",663,"2,981","3,728","3,479","3,709","4,521","1,077","4,473","1,855","1,350","2,675","4,237",814,"1,315","5,041","1,793",27,51,23, -   ,22, -   , -   
,,Abstract bold color Indent,Supplementary Data, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Capital Expenditures,"10,986","2,812","3,185","1,338","2,160","5,086","5,858","7,174","1,209","2,210","1,289","2,138","1,256","4,407","2,359","1,240","1,983","1,292","3,203","2,047","1,688","4,517","4,393","4,122","4,868","5,318","3,508","7,968","3,515","3,311","5,107","7,450","2,647","3,794","6,512","2,131",27,51,23, -   ,22, -   , -   
$,Thousand,,Capitalized Exploration,79,"1,053","1,589","1,230",115,"1,146","1,125",715,484,"1,094","1,395",688,378,341,263,539,8,384,194,87,94,205,60,288,11,56,473,505,14,10,87,6,8,, -   , -   , -   ,6, -   ,-6, -   , -   , -   
,,Abstract bold color Indent,Expense Breakdown By Major Categories, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,Labour,44%,34%,25%,30%,20%,21%,17%,19%,19%,17%,18%,15%,17%,19%,18%,15%,18%,15%,16%,16%,16%,18%,17%,16%,16%,12%,18%,17%,17%,18%,20%,14%,17%,17%,15%,15%,21%,16%,18%,25%,25%,26%,20%
,Actual,, Contractors,9%,13%,16%,10%,8%,9%,6%,8%,8%,10%,15%,15%,7%,8%,11%,15%,13%,9%,10%,9%,7%,8%,9%,12%,7%,10%,5%,8%,7%,7%,8%,7%,8%,8%,10%,9%,7%,9%,7%,10%,9%,10%,10%
,Actual,,Energy,34%,34%,21%,21%,18%,22%,17%,15%,16%,16%,16%,14%,18%,18%,21%,18%,20%,17%,20%,20%,22%,21%,21%,18%,22%,15%,18%,17%,19%,20%,20%,16%,18%,18%,19%,17%,20%,22%,23%,15%,17%,18%,21%
,Actual,,Chemical,8%,8%,10%,5%,6%,9%,13%,10%,12%,11%,19%,16%,13%,13%,21%,19%,19%,18%,23%,23%,23%,20%,17%,19%,17%,25%,20%,18%,16%,11%,19%,15%,14%,14%,19%,21%,20%,18%,16%,19%,29%,26%,30%
,Actual,,Consumables/Other,5%,11%,28%,34%,48%,39%,47%,48%,45%,46%,32%,40%,45%,42%,29%,33%,30%,41%,31%,32%,32%,33%,36%,35%,38%,38%,39%,40%,41%,44%,33%,48%,43%,43%,37%,38%,32%,35%,36%,31%,20%,20%,19%
,Actual,Bold,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
$,Thousand,,Depreciable Assets, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Total Cash Costs (US$/oz),426,457,547,496,418,410,436,485,360,381,400,437,438,552,657,678,668,691,685,694,766,780,872,892,778,833,740,813,936,"1,350",971,840,820,936,"1,196","1,369","1,308","1,385","1,156","1,149","1,453","2,172","2,872"
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
