Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,Abstract Bold,Interest and Sundry Income ('000), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Interest Expense, ,,,,,383,"4,677","5,153","5,274","6,071","5,843","4,725","2,946","1,469",653,"1,686",375,140,509,28,304,64,305,103,64,250,374,156,269,-23,866,-555,212,"3,734",-141,"5,019","15,935","15,731","20,852","18,144","19,712","17,955","19,674","17,887","17,801","17,391","19,654","19,795","19,706","17,835","20,298","21,092","21,816","25,293","23,914","25,544","25,766","27,310","25,721","26,285","27,762","25,000","21,439","20,933","22,168","23,261","22,780","23,833","22,653","20,961","19,278","20,043","23,448","35,837","35,704","35,098","36,265","34,473","28,527"
$,Thousand,,"(Gain)/loss on derivative financial instruments
", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,602","-62,175","-29,724","-58,576","21,066","-21,120","35,420","-24,263","-28,664","40,753","162,374","-83,771","-6,539","-26,433","34,010","-69,470","45,935","19,608","-17,153"
$,Thousand,,Other (income) expense, ,,,,,"2,742","7,362", -   ,"1,865","1,337","1,605","1,624","1,169","1,175","1,915",79,"4,318","4,963","3,155","2,685",523,"6,424","66,563","1,106","1,535",507,"-2,098","2,273",895,"-4,321","1,674",-932,"-2,982","1,936","-3,404","2,941",-417,"3,370",291,"-9,813","-6,617","-8,808","26,873","7,623","-9,023","5,238","-2,367","12,917","-4,913","-6,136","-9,722","-3,928","-2,836","-25,107","-13,719","12,393","-8,041","-7,828","3,927","-18,359","4,540","23,735","9,132","11,529","-2,509","5,744","3,733","13,936","91,898","19,574",-426,"19,526","20,680","4,199","18,697","19,981","10,148","44,198","-1,828"
$,Thousand,Bold,Total, ,,,,,"3,125","12,039","5,153","7,139","7,408","7,448","6,349","4,115","2,644","2,568","1,765","4,693","5,103","3,664","2,713",827,"6,488","66,868","1,209","1,599",757,"-1,724","2,429","1,164","-4,344","2,540","-1,487","-2,770","5,670","-3,545","7,960","15,518","19,101","21,143","8,331","13,095","9,147","46,547","25,510","8,778","22,629","17,287","32,712","14,793","11,699","10,576","17,164","18,980",186,"10,195","37,937","17,725","19,482","29,648","7,926","74,904","-13,440",847,"-26,114","40,725","7,885","61,933","13,506","85,887","81,288","181,226","-44,202","37,589","13,603","88,411","-14,391","92,348","98,279","9,546"
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold Color,Expense Breakdown By Major Categories, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,Laronde - Labour, ,,,,,,,,,,,,,,,,,,,44%,38%,39%,38%,38%,40%,39%,40%,39%,44%,44%,43%,41%,44%,43%,41%,40%,46%,53%,44%,41%,42%,42%,39%,40%,40%,46%,37%,41%,41%,38%,46%,41%,34%,37%,37%,38%,40%,40%,39%,40%,42%,42%,38%,41%,41%,40%,52%,33%,39%,40%,47%,35%,37%,38%,37%,36%,39%,37%,36%
,Actual,,Laronde - Contractors, ,,,,,,,,,,,,,,,,,,,14%,12%,10%,11%,11%,10%,11%,9%,9%,7%,7%,8%,8%,8%,9%,9%,8%,10%,12%,9%,8%,8%,10%,9%,12%,9%,12%,10%,10%,10%,9%,12%,10%,8%,8%,9%,9%,10%,10%,10%,11%,10%,9%,10%,10%,9%,9%,11%,8%,8%,8%,14%,10%,11%,11%,11%,11%,12%,12%,14%
,Actual,,Laronde - Energy, ,,,,,,,,,,,,,,,,,,,10%,8%,8%,8%,7%,8%,8%,8%,8%,9%,8%,9%,9%,8%,8%,9%,10%,13%,12%,9%,9%,10%,9%,9%,10%,9%,9%,8%,9%,9%,8%,10%,8%,7%,7%,8%,8%,8%,7%,7%,7%,5%,5%,6%,5%,6%,6%,8%,6%,6%,7%,9%,7%,6%,6%,6%,6%,6%,6%,5%
,Actual,,Laronde - Chemical, ,,,,,,,,,,,,,,,,,,,13%,10%,11%,11%,10%,10%,11%,12%,11%,11%,10%,11%,10%,10%,10%,10%,9%,10%,12%,11%,8%,8%,9%,9%,9%,6%,8%,7%,7%,7%,7%,9%,7%,5%,7%,7%,7%,6%,7%,7%,6%,6%,6%,7%,6%,5%,6%,9%,5%,7%,8%,10%,7%,7%,7%,7%,6%,7%,7%,7%
,Actual,,Laronde - Consumables/Other, ,,,,,,,,,,,,,,,,,,,19%,32%,32%,32%,34%,32%,31%,31%,33%,29%,31%,29%,32%,30%,30%,31%,33%,21%,11%,27%,34%,32%,30%,34%,29%,36%,25%,38%,33%,33%,38%,23%,34%,46%,41%,39%,38%,36%,36%,37%,36%,37%,38%,39%,38%,39%,39%,20%,48%,40%,37%,20%,41%,39%,38%,39%,41%,36%,38%,38%
,Actual,Bold,Laronde - Total, ,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,Goldex - Labour, ,,,,,,,,,,,,,,,,,,,39%,38%,45%,42%,38%,39%,41%,41%,39%,,,,,,,,44%,46%,45%,38%,34%,36%,35%,34%,36%,31%,33%,30%,32%,35%,38%,40%,36%,44%,41%,42%,42%,43%,44%,42%,41%,43%,44%,40%,43%,42%,41%,44%,37%,40%,39%,40%,38%,38%,39%,38%,22%,34%,36%,34%
,Actual,,Goldex - Contractors, ,,,,,,,,,,,,,,,,,,,17%,10%,9%,10%,12%,10%,11%,10%,5%,,,,,,,,14%,15%,16%,16%,15%,15%,13%,14%,16%,22%,23%,22%,23%,15%,14%,14%,14%,13%,12%,13%,13%,13%,12%,13%,12%,13%,10%,13%,13%,13%,13%,14%,12%,12%,12%,15%,13%,14%,13%,13%,45%,24%,25%,25%
,Actual,,Goldex - Energy, ,,,,,,,,,,,,,,,,,,,10%,11%,9%,9%,10%,12%,11%,10%,10%,,,,,,,,13%,15%,13%,10%,10%,10%,9%,8%,10%,9%,8%,8%,9%,9%,9%,9%,9%,10%,8%,9%,9%,9%,8%,8%,7%,8%,7%,7%,7%,8%,7%,8%,8%,8%,9%,9%,9%,8%,7%,8%,6%,7%,6%,6%
,Actual,,Goldex - Chemical, ,,,,,,,,,,,,,,,,,,,7%,6%,7%,8%,7%,7%,8%,7%,2%,,,,,,,,6%,5%,6%,5%,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%,4%,4%,3%,3%,3%,4%,4%,4%,4%,3%,3%,3%,3%,4%,3%,3%,3%,4%,3%,4%,4%,4%,4%,3%,3%,3%,1%,2%,2%,2%
,Actual,,Goldex - Consumables/Other, ,,,,,,,,,,,,,,,,,,,27%,35%,30%,31%,33%,32%,29%,32%,44%,,,,,,,,23%,19%,21%,31%,37%,35%,39%,40%,34%,35%,33%,37%,33%,38%,35%,33%,38%,30%,36%,32%,32%,31%,32%,34%,37%,33%,36%,36%,34%,34%,36%,30%,40%,36%,36%,32%,36%,37%,38%,38%,26%,33%,31%,33%
,Actual,Bold,Goldex - Total, ,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,100%,100%,101%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,Lapa - Labour, ,,,,,,,,,,,,,,,,,,,26%,25%,31%,39%,38%,42%,44%,43%,40%,44%,47%,45%,42%,45%,44%,42%,39%,47%,50%,51%,36%,42%,44%,41%,35%,41%,36%,40%,38%,38%,35%,33%,0%,32%,38%,35%,27%,63%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Actual,,Lapa - Contractors, ,,,,,,,,,,,,,,,,,,,38%,38%,36%,21%,20%,16%,17%,15%,16%,15%,14%,15%,17%,15%,15%,17%,16%,19%,23%,23%,16%,17%,19%,19%,18%,19%,18%,21%,21%,24%,25%,23%,0%,26%,34%,31%,24%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Actual,,Lapa - Energy, ,,,,,,,,,,,,,,,,,,,7%,6%,5%,6%,7%,8%,7%,7%,8%,9%,6%,7%,8%,8%,8%,7%,9%,12%,10%,10%,8%,10%,8%,8%,8%,9%,7%,8%,9%,9%,8%,8%,0%,10%,12%,11%,9%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Actual,,Lapa - Chemical, ,,,,,,,,,,,,,,,,,,,5%,3%,3%,4%,3%,3%,4%,5%,5%,5%,4%,4%,3%,4%,4%,5%,4%,5%,6%,6%,4%,4%,5%,5%,4%,5%,4%,5%,4%,4%,5%,5%,0%,2%,6%,6%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Actual,,Lapa - Consumables/Other, ,,,,,,,,,,,,,,,,,,,24%,28%,25%,30%,32%,31%,28%,30%,31%,27%,29%,29%,30%,28%,29%,29%,32%,17%,11%,10%,36%,27%,24%,27%,35%,26%,35%,26%,28%,25%,27%,31%,0%,30%,10%,17%,35%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Actual,Bold,Lapa - Total, ,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Actual,,Kittila - Labour, ,,,,,,,,,,,,,,,,,,,24%,25%,31%,27%,27%,28%,34%,27%,30%,34%,33%,32%,34%,37%,41%,34%,33%,35%,39%,35%,25%,25%,27%,23%,24%,23%,25%,20%,24%,22%,25%,24%,18%,20%,17%,21%,24%,21%,21%,18%,23%,21%,23%,19%,22%,25%,25%,28%,17%,20%,21%,18%,19%,20%,20%,19%,19%,17%,23%,19%
,Actual,,Kittila - Contractors, ,,,,,,,,,,,,,,,,,,,23%,25%,23%,17%,22%,15%,16%,17%,13%,7%,11%,8%,8%,12%,17%,10%,10%,12%,16%,17%,10%,15%,17%,21%,25%,26%,29%,26%,26%,24%,14%,13%,8%,10%,6%,9%,30%,30%,43%,38%,34%,31%,31%,33%,33%,23%,25%,31%,23%,28%,26%,35%,26%,26%,29%,26%,26%,28%,27%,27%
,Actual,,Kittila - Energy, ,,,,,,,,,,,,,,,,,,,14%,16%,15%,12%,12%,13%,11%,13%,12%,16%,12%,12%,11%,16%,10%,15%,13%,16%,15%,13%,11%,10%,11%,8%,7%,10%,8%,8%,10%,10%,23%,20%,16%,13%,5%,9%,9%,10%,6%,8%,7%,8%,7%,7%,8%,9%,7%,11%,10%,10%,10%,19%,16%,12%,7%,9%,10%,12%,8%,9%
,Actual,,Kittila - Chemical, ,,,,,,,,,,,,,,,,,,,13%,10%,11%,11%,11%,12%,9%,11%,9%,11%,10%,12%,12%,13%,6%,17%,12%,13%,12%,17%,12%,11%,12%,13%,11%,11%,11%,11%,10%,10%,5%,9%,8%,7%,5%,7%,10%,10%,5%,10%,8%,8%,9%,9%,8%,11%,9%,14%,8%,9%,11%,12%,9%,12%,10%,15%,11%,10%,9%,12%
,Actual,,Kittila - Consumables/Other, ,,,,,,,,,,,,,,,,,,,26%,24%,20%,33%,28%,32%,30%,32%,36%,32%,34%,36%,35%,22%,26%,24%,32%,24%,18%,18%,42%,39%,33%,35%,33%,30%,27%,35%,30%,34%,33%,34%,50%,50%,67%,54%,27%,29%,25%,26%,28%,32%,30%,32%,29%,32%,34%,16%,42%,33%,32%,16%,30%,30%,34%,31%,34%,33%,33%,33%
,Actual,Bold,Kittila - Total, ,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,Pinos Altos - Labour, ,,,,,,,,,,,,,,,,,,,19%,23%,17%,21%,23%,17%,19%,23%,23%,21%,22%,23%,22%,25%,27%,24%,24%,27%,26%,26%,22%,25%,22%,23%,23%,22%,20%,17%,21%,24%,24%,23%,23%,23%,23%,23%,21%,23%,24%,24%,24%,23%,19%,21%,19%,23%,23%,28%,25%,26%,25%,25%,25%,26%,30%,24%,32%,30%,28%,24%
,Actual,,Pinos Altos - Contractors, ,,,,,,,,,,,,,,,,,,,13%,11%,15%,14%,11%,12%,10%,5%,5%,6%,5%,6%,6%,5%,5%,6%,5%,5%,5%,7%,5%,6%,5%,6%,8%,7%,7%,6%,6%,5%,27%,27%,30%,24%,29%,28%,7%,6%,8%,6%,8%,7%,9%,15%,19%,12%,10%,11%,6%,8%,12%,13%,11%,11%,9%,13%,14%,12%,13%,14%
,Actual,,Pinos Altos - Energy, ,,,,,,,,,,,,,,,,,,,15%,16%,17%,14%,16%,15%,14%,14%,15%,14%,12%,14%,13%,14%,14%,15%,16%,20%,19%,17%,15%,17%,13%,13%,14%,13%,10%,8%,11%,14%,8%,8%,8%,9%,8%,9%,12%,12%,12%,11%,13%,11%,10%,9%,10%,11%,10%,11%,8%,10%,9%,10%,10%,12%,13%,12%,10%,11%,11%,10%
,Actual,,Pinos Altos - Chemical, ,,,,,,,,,,,,,,,,,,,6%,6%,6%,5%,5%,5%,5%,4%,5%,4%,4%,4%,3%,4%,4%,5%,5%,5%,5%,5%,8%,10%,8%,9%,11%,10%,10%,7%,10%,11%,10%,12%,9%,10%,10%,11%,11%,10%,9%,9%,9%,9%,9%,9%,9%,8%,10%,10%,8%,9%,8%,8%,8%,8%,8%,8%,7%,7%,7%,7%
,Actual,,Pinos Altos - Consumables/Other, ,,,,,,,,,,,,,,,,,,,47%,44%,45%,46%,45%,51%,52%,54%,52%,55%,57%,53%,56%,52%,50%,50%,50%,43%,45%,45%,50%,42%,52%,49%,44%,48%,53%,62%,52%,46%,31%,30%,30%,34%,30%,29%,49%,49%,47%,50%,46%,50%,53%,46%,43%,46%,47%,40%,53%,47%,46%,44%,46%,43%,40%,43%,37%,40%,41%,45%
,Actual,Bold,Pinos Altos - Total, ,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,Creston Mascota - Labour, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,32%,26%,33%,31%,26%,25%,33%,26%,17%,17%,17%,23%, -   , -   , -   , -   , -   , -   , -   
,Actual,,Creston Mascota - Contractors, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,12%,18%,14%,11%,5%,5%,7%,4%,5%,5%,26%,10%, -   , -   , -   , -   , -   , -   , -   
,Actual,,Creston Mascota - Energy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,15%,12%,12%,10%,14%,15%,22%,12%,42%,42%,41%,40%, -   , -   , -   , -   , -   , -   , -   
,Actual,,Creston Mascota - Chemical, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,11%,15%,14%,25%,29%,30%,34%,32%,6%,6%,1%, -   , -   , -   , -   , -   , -   , -   , -   
,Actual,,Creston Mascota - Consumables/Other, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,30%,29%,27%,23%,26%,25%,4%,26%,30%,30%,15%,27%, -   , -   , -   , -   , -   , -   , -   
,Actual,Bold,Creston Mascota - Total, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%, -   , -   , -   , -   , -   , -   , -   
,Actual,,Meadowbank - Labour, ,,,,,,,,,,,,,,,,,,, -   ,27%,33%,30%,30%,29%,28%,27%,22%,28%,28%,26%,28%,31%,27%,25%,28%,21%,28%,50%,30%,32%,28%,26%,27%,32%,32%,28%,36%,34%,24%,27%,21%,21%,22%,23%,28%,29%,28%,21%,23%,25%,23%,18%,24%,22%,22%,24%,22%,25%,26%,21%,25%,24%,24%,21%,26%,23%,22%,21%
,Actual,,Meadowbank - Contractors, ,,,,,,,,,,,,,,,,,,, -   ,17%,17%,20%,18%,11%,9%,12%,10%,10%,9%,8%,8%,11%,17%,12%,8%,12%,10%,11%,10%,11%,10%,9%,10%,10%,11%,10%,13%,11%,6%,7%,6%,5%,7%,7%,15%,19%,18%,18%,20%,20%,21%,20%,23%,25%,22%,21%,14%,19%,17%,24%,20%,20%,20%,17%,19%,19%,20%,19%
,Actual,,Meadowbank - Energy, ,,,,,,,,,,,,,,,,,,, -   ,18%,21%,18%,21%,18%,17%,16%,17%,19%,19%,16%,20%,21%,19%,16%,20%,24%,21%,23%,21%,26%,20%,16%,19%,21%,20%,16%,20%,19%,12%,13%,10%,9%,10%,11%,14%,16%,15%,11%,15%,15%,13%,9%,12%,12%,10%,12%,11%,15%,13%,14%,17%,20%,16%,13%,15%,17%,16%,14%
,Actual,,Meadowbank - Chemical, ,,,,,,,,,,,,,,,,,,, -   ,2%,3%,4%,4%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,5%,5%,5%,4%,4%,5%,5%,4%,3%,6%,5%,10%,12%,11%,10%,11%,11%,3%,3%,3%,2%,3%,3%,2%,3%,3%,3%,3%,3%,2%,3%,3%,3%,3%,3%,2%,3%,3%,4%,3%,3%
,Actual,,Meadowbank - Consumables/Other, ,,,,,,,,,,,,,,,,,,, -   ,36%,26%,28%,27%,39%,43%,42%,48%,40%,41%,46%,40%,33%,33%,43%,40%,40%,37%,11%,34%,26%,38%,45%,39%,32%,33%,43%,25%,31%,48%,41%,52%,55%,50%,48%,40%,33%,36%,48%,39%,37%,41%,50%,38%,38%,43%,40%,51%,38%,41%,38%,35%,33%,38%,46%,37%,37%,39%,43%
,Actual,Bold,Meadowbank - Total, ,,,,,,,,,,,,,,,,,,, -   ,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,101%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,La India - Labour, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,34%,25%,30%,20%,21%,17%,19%,19%,17%,18%,15%,17%,19%,18%,15%,18%,15%,16%,16%,16%,18%,17%,16%,16%,12%,18%,17%,17%,18%,20%,14%,17%,17%,15%,15%,21%,16%,18%,25%,25%,26%,20%
,Actual,,La India - Contractors, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,13%,16%,10%,8%,9%,6%,8%,8%,10%,15%,15%,7%,8%,11%,15%,13%,9%,10%,9%,7%,8%,9%,12%,7%,10%,5%,8%,7%,7%,8%,7%,8%,8%,10%,9%,7%,9%,7%,10%,9%,10%,10%
,Actual,,La India - Energy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,34%,21%,21%,18%,22%,17%,15%,16%,16%,16%,14%,18%,18%,21%,18%,20%,17%,20%,20%,22%,21%,21%,18%,22%,15%,18%,17%,19%,20%,20%,16%,18%,18%,19%,17%,20%,22%,23%,15%,17%,18%,21%
,Actual,,La India - Chemical, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,8%,10%,5%,6%,9%,13%,10%,12%,11%,19%,16%,13%,13%,21%,19%,19%,18%,23%,23%,23%,20%,17%,19%,17%,25%,20%,18%,16%,11%,19%,15%,14%,14%,19%,21%,20%,18%,16%,19%,29%,26%,30%
,Actual,,La India - Consumables/Other, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,11%,28%,34%,48%,39%,47%,48%,45%,46%,32%,40%,45%,42%,29%,33%,30%,41%,31%,32%,32%,33%,36%,35%,38%,38%,39%,40%,41%,44%,33%,48%,43%,43%,37%,38%,32%,35%,36%,31%,20%,20%,19%
,Actual,Bold,La India - Total, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,LZ5 - Labour, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,13%,14%,13%,12%,12%,13%,13%,14%,12%,14%,14%,14%,16%,14%,21%,23%,25%,21%,24%,25%,25%,26%,27%,25%,24%
,Actual,,LZ5 - Contractors, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52%,45%,46%,35%,38%,38%,39%,36%,34%,35%,35%,34%,33%,35%,28%,24%,20%,33%,26%,28%,26%,29%,25%,24%,28%,25%
,Actual,,LZ5 - Energy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,7%,8%,9%,7%,8%,6%,7%,6%,6%,6%,6%,5%,6%,5%,7%,8%,7%,7%,7%,5%,5%,6%,5%,5%,5%
,Actual,,LZ5 - Chemical, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,4%,4%,9%,7%,7%,7%,8%,6%,6%,6%,7%,7%,7%,5%,6%,5%,6%,3%,3%,2%, -   , -   , -   , -   ,2%
,Actual,,LZ5 - Consumables/Other, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,31%,28%,34%,36%,35%,35%,36%,40%,41%,39%,39%,41%,36%,48%,42%,44%,29%,43%,38%,42%,41%,43%,44%,42%,44%
,Actual,Bold,LZ5 - Total, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,Meliadine - Labour, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,26%,26%,35%,29%,22%,26%,28%,28%,32%,23%,27%,28%,28%,27%,27%,27%,24%,26%,26%,27%,26%
,Actual,,Meliadine - Contractors, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,21%,22%,22%,25%,25%,25%,27%,26%,27%,18%,21%,20%,30%,21%,23%,23%,21%,22%,23%,24%,23%
,Actual,,Meliadine - Energy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,11%,8%,10%,13%,16%,11%,9%,11%,13%,10%,9%
,Actual,,Meliadine - Chemical, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,3%,3%,2%,3%,3%,3%,3%,3%,3%,2%,2%,2%,3%,2%,2%,2%,3%,2%,2%,3%,3%
,Actual,,Meliadine - Consumables/Other, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,48%,47%,39%,42%,49%,44%,40%,41%,36%,55%,39%,42%,29%,37%,32%,37%,43%,39%,36%,36%,39%
,Actual,Bold,Meliadine - Total, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,Detour Lake - Labour, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26%,20%,18%,18%,22%,23%,21%,20%,22%,23%,21%
,Actual,,Detour Lake - Contractors, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,13%,14%,12%,13%,14%,18%,16%,15%,15%,20%
,Actual,,Detour Lake - Energy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26%,19%,21%,19%,18%,14%,16%,17%,17%,15%,15%
,Actual,,Detour Lake - Chemical, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,5%,6%,5%,9%,10%,8%,9%,9%,10%,10%
,Actual,,Detour Lake - Consumables/Other, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,43%,41%,46%,38%,39%,37%,38%,37%,37%,34%
,Actual,Bold,Detour Lake - Total, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
